Sample,Feature,Celltype,Prediction
NB883,Manual,1,0.9644503154155927
NB883,Manual,1,0.9338025878105435
NB883,Manual,1,0.987529050899583
NB883,Manual,1,0.9908743895306746
NB883,Manual,1,0.994197307202014
NB883,Manual,1,0.9696898135591302
NB883,Manual,1,0.9524562727765526
NB883,Manual,1,0.9930001726929748
NB883,Manual,1,0.9963763093607195
NB883,Manual,1,0.990333941156381
NB883,Manual,1,0.9914549483570053
NB883,Manual,1,0.9985555809043201
NB883,Manual,1,0.9962384551830946
NB883,Manual,1,0.9922077773558664
NB883,Manual,1,0.9879956132146613
NB883,Manual,1,0.9832069304296989
NB883,Manual,1,0.968167700363648
NB883,Manual,1,0.9969312529675886
NB883,Manual,1,0.9947222391244798
NB883,Manual,1,0.9667448288927579
NB883,Manual,1,0.9891851561454282
NB883,Manual,1,0.995588356617154
NB883,Manual,1,0.9720100937612633
NB883,Manual,1,0.989119637005655
NB883,Manual,1,0.9671404502900492
NB883,Manual,1,0.9806617399695291
NB883,Manual,1,0.9779069564690227
NB883,Manual,1,0.9910219035472267
NB883,Manual,1,0.9956253404528693
NB883,Manual,1,0.9632257900938302
NB883,Manual,1,0.9950003276691833
NB883,Manual,1,0.994270292398581
NB883,Manual,1,0.9804042197017847
NB883,Manual,1,0.9920310411510037
NB883,Manual,1,0.9869764799687342
NB883,Manual,1,0.9891080004009175
NB883,Manual,1,0.9859542932810815
NB883,Manual,1,0.9811950373936682
NB883,Manual,1,0.9821356380642873
NB883,Manual,1,0.9921463490240814
NB883,Manual,1,0.9359819682726129
NB883,Manual,1,0.9766643364060178
NB883,Manual,1,0.9841968625539379
NB883,Manual,1,0.9979422149501771
NB883,Manual,1,0.9965992011169676
NB883,Manual,1,0.991652634769077
NB883,Manual,1,0.9043002860499647
NB883,Manual,1,0.9799567793904583
NB883,Manual,1,0.9650586787261837
NB883,Manual,1,0.9981413164762135
NB883,Manual,1,0.9893270645262339
NB883,Manual,1,0.9976901245217908
NB883,Manual,1,0.9775893786899273
NB883,Manual,1,0.9848330433427179
NB883,Manual,1,0.9909759482613787
NB883,Manual,1,0.9470835531810177
NB883,Manual,1,0.9859886200222993
NB883,Manual,1,0.9887010238593934
NB883,Manual,1,0.9902718148390556
NB883,Manual,1,0.9897700417155425
NB883,Manual,1,0.9932416761629338
NB883,Manual,1,0.9848475017866012
NB883,Manual,1,0.9920988534054813
NB883,Manual,1,0.985117327162224
NB883,Manual,1,0.9959833246185518
NB883,Manual,1,0.9850991012005041
NB883,Manual,1,0.9975220749477535
NB883,Manual,1,0.9901675671629973
NB883,Manual,1,0.9745092911666736
NB883,Manual,1,0.9751238189174516
NB883,Manual,1,0.9910628436807308
NB883,Manual,1,0.984725486279445
NB883,Manual,1,0.9311994831077588
NB883,Manual,1,0.9947860455403942
NB883,Manual,1,0.9801533382566556
NB883,Manual,1,0.9964565634043835
NB883,Manual,1,0.9920166504777993
NB883,Manual,1,0.981871965237432
NB883,Manual,1,0.9869813126254813
NB883,Manual,1,0.9791699420379733
NB883,Manual,1,0.9857598729735559
NB883,Manual,1,0.982116583167389
NB883,Manual,1,0.971080825405671
NB883,Manual,1,0.9942297158972483
NB883,Manual,1,0.9810725819328038
NB883,Manual,1,0.9932578006581858
NB883,Manual,1,0.992700720379094
NB883,Manual,1,0.9848859552551803
NB883,Manual,1,0.9885299119316199
NB883,Manual,1,0.9737974238069873
NB883,Manual,1,0.9866352666874899
NB883,Manual,1,0.9924917566035836
NB883,Manual,1,0.9917532388717012
NB883,Manual,1,0.9946519392588334
NB883,Manual,1,0.9846036135672783
NB883,Manual,1,0.9892967448432624
NB883,Manual,1,0.9454204107118532
NB883,Manual,1,0.9914949014576516
NB883,Manual,1,0.9681423835613135
NB883,Manual,1,0.9869317902832869
NB883,Manual,1,0.986621735366199
NB883,Manual,1,0.9849271638876765
NB883,Manual,1,0.9950258957877136
NB883,Manual,1,0.9925868355288063
NB883,Manual,1,0.9876676711734148
NB883,Manual,1,0.997057320905578
NB883,Manual,1,0.9886446656859987
NB883,Manual,1,0.988941604999141
NB883,Manual,1,0.9932897041438694
NB883,Manual,1,0.97144845650212
NB883,Manual,1,0.9933218742855003
NB883,Manual,1,0.98890649799844
NB883,Manual,1,0.9747328324915748
NB883,Manual,1,0.9834655960552792
NB883,Manual,1,0.9770601856736472
NB883,Manual,1,0.9918313797912712
NB883,Manual,1,0.9953744154780891
NB883,Manual,1,0.9965855528269812
NB883,Manual,1,0.9854401016588383
NB883,Manual,1,0.98636663066326
NB883,Manual,1,0.9869636132053972
NB883,Manual,1,0.9864381298343651
NB883,Manual,1,0.9857450058340465
NB883,Manual,1,0.9860573483320991
NB883,Manual,1,0.9927635710229994
NB883,Manual,1,0.9932403615026509
NB883,Manual,1,0.9799782547477521
NB883,Manual,1,0.9928427542710551
NB883,Manual,1,0.9595623311958492
NB883,Manual,1,0.995199436536746
NB883,Manual,1,0.9783168432812502
NB883,Manual,1,0.992990587823201
NB883,Manual,1,0.983347565365756
NB883,Manual,1,0.9933457181640738
NB883,Manual,1,0.9938410624865629
NB883,Manual,1,0.9858523850456069
NB883,Manual,1,0.9556058489516625
NB883,Manual,1,0.9781361445181108
NB883,Manual,1,0.9912130367023952
NB883,Manual,1,0.9954421166235714
NB883,Manual,1,0.9434559425297692
NB883,Manual,1,0.9769641604101831
NB883,Manual,1,0.9852234299211098
NB883,Manual,1,0.9933833088394761
NB883,Manual,1,0.982254380753383
NB883,Manual,1,0.9908777467961398
NB883,Manual,1,0.987842200134672
NB883,Manual,1,0.9943435283886393
NB883,Manual,1,0.9821231485968901
NB883,Manual,1,0.9941269715718174
NB883,Manual,1,0.9545921143899481
NB883,Manual,1,0.9873417222055839
NB883,Manual,1,0.9953543134435029
NB883,Manual,1,0.9776050629271604
NB883,Manual,1,0.9603379437893781
NB883,Manual,1,0.9954099074933368
NB883,Manual,1,0.9952398384317049
NB883,Manual,1,0.9780245233489332
NB883,Manual,1,0.9802527145274372
NB883,Manual,1,0.9977730082369478
NB883,Manual,1,0.9924750881970436
NB883,Manual,1,0.9909688310081958
NB883,Manual,1,0.9761921326941496
NB883,Manual,1,0.9944318985107695
NB883,Manual,1,0.9903997205254811
NB883,Manual,0,0.07283340349974751
NB883,Manual,0,0.045895284521929945
NB883,Manual,0,0.11306716988877386
NB883,Manual,0,0.042327034195365855
NB883,Manual,0,0.026236300339725467
NB883,Manual,0,0.1888243070281069
NB883,Manual,0,0.15811226982924986
NB883,Manual,0,0.03297348464670213
NB883,Manual,0,0.18562303532800012
NB883,Manual,0,0.020079625533706392
NB883,Manual,0,0.05352324711665801
NB883,Manual,0,0.03668949174201011
NB883,Manual,0,0.009975607980677013
NB883,Manual,0,0.05859869808633747
NB883,Manual,0,0.03787111344607667
NB883,Manual,0,0.17736931359214544
NB883,Manual,0,0.0633422844039285
NB883,Manual,0,0.04512975647294609
NB883,Manual,0,0.12634323362065183
NB883,Manual,0,0.0425633842108912
NB883,Manual,0,0.07479914875116192
NB883,Manual,0,0.020587813343296003
NB883,Manual,0,0.0971759785661951
NB883,Manual,0,0.034264416083070154
NB883,Manual,0,0.02618208612461594
NB883,Manual,0,0.08908614185107372
NB883,Manual,0,0.08178509391875578
NB883,Manual,0,0.06711628023853482
NB883,Manual,0,0.03409488751394187
NB883,Manual,0,0.04595738683753652
NB883,Manual,0,0.02683042340781125
NB883,Manual,0,0.48708680140850413
NB883,Manual,0,0.019677777764255666
NB883,Manual,0,0.05672869932802973
NB883,Manual,0,0.07505666720915681
NB883,Manual,0,0.10492063514507911
NB883,Manual,0,0.4306034134037773
NB883,Manual,0,0.019997091142799683
NB883,Manual,0,0.010202645407966506
NB883,Manual,0,0.05983152346739108
NB883,Manual,0,0.03876574926329106
NB883,Manual,0,0.38279367427498645
NB883,Manual,0,0.011036839069650403
NB883,Manual,0,0.04361599388614373
NB883,Manual,0,0.039900024019648685
NB883,Manual,0,0.022211668261259986
NB883,Manual,0,0.019058736814835466
NB883,Manual,0,0.04614928037000162
NB883,Manual,0,0.3225824268738653
NB883,Manual,0,0.274254653580147
NB883,Manual,0,0.07262432323594517
NB883,Manual,0,0.20449302979378575
NB883,Manual,0,0.9645850696478299
NB883,Manual,0,0.4877368850294478
NB883,Manual,0,0.5418093630543023
NB883,Manual,0,0.3147498599083594
NB883,Manual,0,0.013755275485588058
NB883,Manual,0,0.019796405851767045
NB883,Manual,0,0.14114430039291057
NB883,Manual,0,0.7652380876486605
NB883,InferCNV,1,0.9675769983005557
NB883,InferCNV,1,0.9556803100909222
NB883,InferCNV,1,0.98183774114301
NB883,InferCNV,1,0.9641695625526995
NB883,InferCNV,1,0.9989496828010588
NB883,InferCNV,1,0.9920041528996333
NB883,InferCNV,1,0.9032706379214825
NB883,InferCNV,1,0.9975426721161551
NB883,InferCNV,1,0.9991687814537998
NB883,InferCNV,1,0.929472980283517
NB883,InferCNV,1,0.9984872519455298
NB883,InferCNV,1,0.9957607749011144
NB883,InferCNV,1,0.9985199835310474
NB883,InferCNV,1,0.9970718419742163
NB883,InferCNV,1,0.9991221144146658
NB883,InferCNV,1,0.9961370813288632
NB883,InferCNV,1,0.9293856715469855
NB883,InferCNV,1,0.9949573791716202
NB883,InferCNV,1,0.9838338665056612
NB883,InferCNV,1,0.9942346036483442
NB883,InferCNV,1,0.9984806269630802
NB883,InferCNV,1,0.9979012741327855
NB883,InferCNV,1,0.9923354469666101
NB883,InferCNV,1,0.9672911166301783
NB883,InferCNV,1,0.9616072856340758
NB883,InferCNV,1,0.9991915760694989
NB883,InferCNV,1,0.9841911430572703
NB883,InferCNV,1,0.9964187363773129
NB883,InferCNV,1,0.9922429761317855
NB883,InferCNV,1,0.906238670144488
NB883,InferCNV,1,0.9767820040913314
NB883,InferCNV,1,0.9922621045289512
NB883,InferCNV,1,0.9975816553122154
NB883,InferCNV,1,0.9964642854233852
NB883,InferCNV,1,0.9855875643082477
NB883,InferCNV,1,0.9209130644933208
NB883,InferCNV,1,0.9912737572255683
NB883,InferCNV,1,0.8656892870358396
NB883,InferCNV,1,0.993663692141366
NB883,InferCNV,1,0.9976834329356459
NB883,InferCNV,1,0.974455376712257
NB883,InferCNV,1,0.9728707378349963
NB883,InferCNV,1,0.9794551506509991
NB883,InferCNV,1,0.9992554002738192
NB883,InferCNV,1,0.9864373456527856
NB883,InferCNV,1,0.9948809574742811
NB883,InferCNV,1,0.5506900606387037
NB883,InferCNV,1,0.9627008321461025
NB883,InferCNV,1,0.9976021395595184
NB883,InferCNV,1,0.9999360488643204
NB883,InferCNV,1,0.9921777911182396
NB883,InferCNV,1,0.9984433170256141
NB883,InferCNV,1,0.9836434590147529
NB883,InferCNV,1,0.9795729995995768
NB883,InferCNV,1,0.997888802885052
NB883,InferCNV,1,0.9468998397434717
NB883,InferCNV,1,0.996582170963872
NB883,InferCNV,1,0.9952859149676211
NB883,InferCNV,1,0.9992610798930482
NB883,InferCNV,1,0.9451924413723196
NB883,InferCNV,1,0.9944102466671811
NB883,InferCNV,1,0.9503623252766046
NB883,InferCNV,1,0.9639589465103541
NB883,InferCNV,1,0.9954716598704172
NB883,InferCNV,1,0.9956653876629369
NB883,InferCNV,1,0.9515532885790507
NB883,InferCNV,1,0.9982642342440684
NB883,InferCNV,1,0.9821454292744323
NB883,InferCNV,1,0.8868032187392187
NB883,InferCNV,1,0.9868668262038347
NB883,InferCNV,1,0.9903844436742062
NB883,InferCNV,1,0.9779183571975375
NB883,InferCNV,1,0.9967176319111025
NB883,InferCNV,1,0.9981168653684858
NB883,InferCNV,1,0.9889540422495581
NB883,InferCNV,1,0.9887821697924102
NB883,InferCNV,1,0.9961074966370649
NB883,InferCNV,1,0.9535830935616344
NB883,InferCNV,1,0.9960187829970036
NB883,InferCNV,1,0.9740793084199852
NB883,InferCNV,1,0.7679690115974858
NB883,InferCNV,1,0.9796129825619111
NB883,InferCNV,1,0.9697217332184644
NB883,InferCNV,1,0.9985615719973913
NB883,InferCNV,1,0.9708249877503684
NB883,InferCNV,1,0.9922167219196745
NB883,InferCNV,1,0.9988593703725762
NB883,InferCNV,1,0.9788637741323284
NB883,InferCNV,1,0.9355497524246948
NB883,InferCNV,1,0.9821151473926146
NB883,InferCNV,1,0.9978043913800206
NB883,InferCNV,1,0.9977201588509249
NB883,InferCNV,1,0.9953818230212148
NB883,InferCNV,1,0.9688087817025163
NB883,InferCNV,1,0.9870531467614531
NB883,InferCNV,1,0.9677058236240602
NB883,InferCNV,1,0.9970931514237347
NB883,InferCNV,1,0.9333784208741873
NB883,InferCNV,1,0.9953404254751057
NB883,InferCNV,1,0.9600437849961109
NB883,InferCNV,1,0.9929223511185594
NB883,InferCNV,1,0.9752872694532378
NB883,InferCNV,1,0.9494583940671124
NB883,InferCNV,1,0.9948175868248103
NB883,InferCNV,1,0.9975163429219241
NB883,InferCNV,1,0.9972309506449282
NB883,InferCNV,1,0.999309708915178
NB883,InferCNV,1,0.9990297452094165
NB883,InferCNV,1,0.992140788677696
NB883,InferCNV,1,0.9918239067730011
NB883,InferCNV,1,0.9820784453655524
NB883,InferCNV,1,0.9469893228310565
NB883,InferCNV,1,0.9069577087442516
NB883,InferCNV,1,0.9936605478281852
NB883,InferCNV,1,0.9870527246335354
NB883,InferCNV,1,0.9926178984124545
NB883,InferCNV,1,0.9964005070753651
NB883,InferCNV,1,0.9955433039176461
NB883,InferCNV,1,0.8938923446568282
NB883,InferCNV,1,0.9964240844930956
NB883,InferCNV,1,0.9930319295331619
NB883,InferCNV,1,0.9963535028243067
NB883,InferCNV,1,0.8894550829585832
NB883,InferCNV,1,0.9972525741697106
NB883,InferCNV,1,0.9904976301639089
NB883,InferCNV,1,0.9987755067164226
NB883,InferCNV,1,0.9820374213156632
NB883,InferCNV,1,0.9767688901532129
NB883,InferCNV,1,0.9826057470023095
NB883,InferCNV,1,0.9723946050551266
NB883,InferCNV,1,0.9390032461067959
NB883,InferCNV,1,0.9978607132913231
NB883,InferCNV,1,0.8269149045419324
NB883,InferCNV,1,0.9948630677832919
NB883,InferCNV,1,0.9953693165145909
NB883,InferCNV,1,0.9777472751840357
NB883,InferCNV,1,0.9591104163015793
NB883,InferCNV,1,0.979090209763351
NB883,InferCNV,1,0.993252637771317
NB883,InferCNV,1,0.9929149483678207
NB883,InferCNV,1,0.6659240886614595
NB883,InferCNV,1,0.9096158482196798
NB883,InferCNV,1,0.9999119586840791
NB883,InferCNV,1,0.964144878693991
NB883,InferCNV,1,0.9706617119737894
NB883,InferCNV,1,0.9993265365909918
NB883,InferCNV,1,0.989394505866866
