Sample,Feature,Celltype,Prediction
NB837,Manual,1,0.781594621313621
NB837,Manual,1,0.9789646652259315
NB837,Manual,1,0.9928990114092561
NB837,Manual,1,0.9958176505299712
NB837,Manual,1,0.9930389002555385
NB837,Manual,1,0.9588361855170346
NB837,Manual,1,0.9158802150452756
NB837,Manual,1,0.6900454302449771
NB837,Manual,1,0.9502781461728568
NB837,Manual,1,0.9330476331568757
NB837,Manual,1,0.9850861870042733
NB837,Manual,1,0.9917664606824464
NB837,Manual,1,0.9692609216396785
NB837,Manual,1,0.9646069277018875
NB837,Manual,1,0.9262207617991565
NB837,Manual,1,0.9922797207227894
NB837,Manual,1,0.8662644440174135
NB837,Manual,1,0.9986394032406549
NB837,Manual,1,0.9633699324011623
NB837,Manual,1,0.9475762318939103
NB837,Manual,1,0.9913240202488894
NB837,Manual,1,0.9988000948683102
NB837,Manual,1,0.9936235694278406
NB837,Manual,1,0.994364816319846
NB837,Manual,1,0.9472312457423244
NB837,Manual,1,0.9832350108851245
NB837,Manual,1,0.9804846421243093
NB837,Manual,1,0.9777708662514969
NB837,Manual,1,0.91781030701381106
NB837,Manual,1,0.9201473266835076
NB837,Manual,1,0.8926849004213266
NB837,Manual,1,0.9285532193637452
NB837,Manual,1,0.9402747573742373
NB837,Manual,1,0.9685499081914631
NB837,Manual,1,0.998438316302348
NB837,Manual,1,0.9989088306217416
NB837,Manual,1,0.9983315285364144
NB837,Manual,1,0.9948398548266468
NB837,Manual,1,0.9721834236285526
NB837,Manual,1,0.9928544397001499
NB837,Manual,1,0.9802764869248125
NB837,Manual,1,0.9821039102449807
NB837,Manual,1,0.99538402137787
NB837,Manual,1,0.9949880113530118
NB837,Manual,1,0.9506357460977045
NB837,Manual,1,0.9646525980152422
NB837,Manual,1,0.9894029686313309
NB837,Manual,1,0.9852854301971008
NB837,Manual,1,0.998349887795762
NB837,Manual,1,0.9895774797764271
NB837,Manual,1,0.9564948494760854
NB837,Manual,1,0.992805638351708
NB837,Manual,1,0.9800140143448272
NB837,Manual,1,0.9959891223928192
NB837,Manual,1,0.9812108621963004
NB837,Manual,1,0.9657902087737714
NB837,Manual,1,0.980496873928228
NB837,Manual,1,0.9798562912427374
NB837,Manual,1,0.7949450726993132
NB837,Manual,1,0.9961305961657532
NB837,Manual,1,0.9857651588452745
NB837,Manual,1,0.9874910659112818
NB837,Manual,1,0.9872458793856381
NB837,Manual,1,0.9970017718758815
NB837,Manual,1,0.9926339501253125
NB837,Manual,1,0.9930451056574353
NB837,Manual,1,0.9966362510110762
NB837,Manual,1,0.974941329473346
NB837,Manual,1,0.9724195314124886
NB837,Manual,1,0.9924051409335166
NB837,Manual,1,0.9667528847609258
NB837,Manual,1,0.9314525545001103
NB837,Manual,1,0.9096799932185531
NB837,Manual,1,0.9989473040537729
NB837,Manual,1,0.9785075263223953
NB837,Manual,1,0.9870502625749983
NB837,Manual,1,0.9975952413950062
NB837,Manual,1,0.895681592170527
NB837,Manual,1,0.9696163196976579
NB837,Manual,0,0.009822253153290167
NB837,Manual,0,0.012142664196282647
NB837,Manual,0,0.008632707469438358
NB837,Manual,0,0.017351540007642274
NB837,Manual,0,0.02161824448565243
NB837,Manual,0,0.054160535579975924
NB837,Manual,0,0.006511180026608318
NB837,Manual,0,0.012702160511269604
NB837,Manual,0,0.012725748181663409
NB837,Manual,0,0.008336891991080146
NB837,Manual,0,0.010964144291482394
NB837,Manual,0,0.019037279168433202
NB837,Manual,0,0.08442987895139166
NB837,Manual,0,0.0066208591805288
NB837,Manual,0,0.004130305982019743
NB837,Manual,0,0.01898391469073368
NB837,Manual,0,0.020143610610571707
NB837,Manual,0,0.014141849522166594
NB837,Manual,0,0.006177938645414
NB837,Manual,0,0.08721215297632239
NB837,Manual,0,0.007273284116341519
NB837,Manual,0,0.002631804199408326
NB837,Manual,0,0.009384120654115992
NB837,Manual,0,0.01206890833519772
NB837,Manual,0,0.004555193724740159
NB837,Manual,0,0.029334156534366003
NB837,Manual,0,0.007738586139968339
NB837,Manual,0,0.007214291614077907
NB837,Manual,0,0.021561209700649262
NB837,InferCNV,1,0.7985982117302299
NB837,InferCNV,1,0.9725166895672691
NB837,InferCNV,1,0.9837688272373986
NB837,InferCNV,1,0.93664852870224935
NB837,InferCNV,1,0.9988151052995385
NB837,InferCNV,1,0.816225044345183
NB837,InferCNV,1,0.9785985581961154
NB837,InferCNV,1,0.9625203715281292
NB837,InferCNV,1,0.9830903404578798
NB837,InferCNV,1,0.9714484671109708
NB837,InferCNV,1,0.9764516253019495
NB837,InferCNV,1,0.8746182922594156
NB837,InferCNV,1,0.9398939265718177
NB837,InferCNV,1,0.9910311655988944
NB837,InferCNV,1,0.9953660647485001
NB837,InferCNV,1,0.96944102326029
NB837,InferCNV,1,0.9009002533314526
NB837,InferCNV,1,0.9986076467840047
NB837,InferCNV,1,0.9260426394676798
NB837,InferCNV,1,0.9755158105107558
NB837,InferCNV,1,0.9680429381290319
NB837,InferCNV,1,0.9980388943802176
NB837,InferCNV,1,0.991984853171718
NB837,InferCNV,1,0.9991436003537941
NB837,InferCNV,1,0.9605074223821467
NB837,InferCNV,1,0.9826265078777
NB837,InferCNV,1,0.9873197017275921
NB837,InferCNV,1,0.8452579502096182
NB837,InferCNV,1,0.9878146258951614
NB837,InferCNV,1,0.8056294683185513
NB837,InferCNV,1,0.9369269517231076
NB837,InferCNV,1,0.9407771696341046
NB837,InferCNV,1,0.9083981956920842
NB837,InferCNV,1,0.9660849380234503
NB837,InferCNV,1,0.9997828145099537
NB837,InferCNV,1,0.9985322627544752
NB837,InferCNV,1,0.9919357474378564
NB837,InferCNV,1,0.9954278831421945
NB837,InferCNV,1,0.9919885144099015
NB837,InferCNV,1,0.9773570545573367
NB837,InferCNV,1,0.9841119357095665
NB837,InferCNV,1,0.9984319590364972
NB837,InferCNV,1,0.8389493906512921
NB837,InferCNV,1,0.9951382961095313
NB837,InferCNV,1,0.9660248077722987
NB837,InferCNV,1,0.9693027327756519
NB837,InferCNV,1,0.9917283257603765
NB837,InferCNV,1,0.9940552224647644
NB837,InferCNV,1,0.9952353668484446
NB837,InferCNV,1,0.9690890865582253
NB837,InferCNV,1,0.9726631085058817
NB837,InferCNV,1,0.9850787023523682
NB837,InferCNV,1,0.9933258516106009
NB837,InferCNV,1,0.9931422490165206
NB837,InferCNV,1,0.975152190908153
NB837,InferCNV,1,0.9735751466143443
NB837,InferCNV,1,0.9915210846734593
NB837,InferCNV,1,0.9151240814685238
NB837,InferCNV,1,0.8667385140043976
NB837,InferCNV,1,0.986128801968098
NB837,InferCNV,1,0.990670993366662
NB837,InferCNV,1,0.9974059836110347
NB837,InferCNV,1,0.946863298541473
