Sample,Feature,Celltype,Prediction
T230,Manual,1,0.9725980784486677
T230,Manual,1,0.9609169094641027
T230,Manual,1,0.9915174490489203
T230,Manual,1,0.9610754341767789
T230,Manual,1,0.8221077089223574
T230,Manual,1,0.9512901606314034
T230,Manual,1,0.9262381021010736
T230,Manual,1,0.993508824633125
T230,Manual,1,0.9493125722383473
T230,Manual,1,0.9010159066068402
T230,Manual,1,0.9843147001666143
T230,Manual,1,0.893301121745705
T230,Manual,1,0.027410513463671276
T230,Manual,1,0.983338219296945
T230,Manual,1,0.995868017074285
T230,Manual,1,0.9902569953929219
T230,Manual,1,0.9662291789350317
T230,Manual,1,0.9973544223257619
T230,Manual,1,0.9377991978831415
T230,Manual,1,0.9979648175131629
T230,Manual,1,0.9976358426083924
T230,Manual,1,0.9786130730138486
T230,Manual,1,0.9688325137371464
T230,Manual,1,0.9831436591562591
T230,Manual,1,0.9773809678471669
T230,Manual,1,0.8700129864576069
T230,Manual,1,0.9900828410362434
T230,Manual,1,0.9986102541676023
T230,Manual,1,0.9363576953726734
T230,Manual,1,0.9401497041333039
T230,Manual,1,0.9739427784776465
T230,Manual,1,0.9681052618608348
T230,Manual,1,0.9824316772929252
T230,Manual,1,0.996010652037754
T230,Manual,1,0.9616567671773459
T230,Manual,1,0.8920841573326133
T230,Manual,1,0.990006781429041
T230,Manual,1,0.7746426300277863
T230,Manual,1,0.9667638080455027
T230,Manual,1,0.8580163910445787
T230,Manual,1,0.9929046972099063
T230,Manual,1,0.99340808590578
T230,Manual,1,0.9938296000632901
T230,Manual,1,0.8675818241462468
T230,Manual,1,0.36969950086899955
T230,Manual,1,0.9851236640343554
T230,Manual,1,0.9473859601461204
T230,Manual,1,0.9077356769522432
T230,Manual,1,0.9988806581628037
T230,Manual,1,0.9601928401276604
T230,Manual,1,0.9482712505801186
T230,Manual,1,0.9861247838445798
T230,Manual,1,0.9833167763431578
T230,Manual,1,0.6852552992464329
T230,Manual,1,0.9518234072150538
T230,Manual,1,0.9958245784127332
T230,Manual,1,0.9855897703659044
T230,Manual,1,0.8358722986865554
T230,Manual,1,0.9360082882156318
T230,Manual,1,0.9590883662515532
T230,Manual,1,0.9342712398742571
T230,Manual,1,0.8766800523668098
T230,Manual,1,0.9683213132513118
T230,Manual,1,0.9403709515181355
T230,Manual,1,0.9253370761916027
T230,Manual,1,0.9506772678760376
T230,Manual,1,0.8077189134403725
T230,Manual,1,0.934260167863354
T230,Manual,1,0.9591964653743108
T230,Manual,1,0.9173325592540736
T230,Manual,1,0.8590162394247397
T230,Manual,1,0.9874752975851592
T230,Manual,1,0.8350317341282836
T230,Manual,1,0.9992652696387455
T230,Manual,1,0.9427201051874339
T230,Manual,1,0.9678143344455314
T230,Manual,1,0.8921981975064526
T230,Manual,1,0.7849664893141862
T230,Manual,1,0.9944152929265709
T230,Manual,1,0.9801192852639834
T230,Manual,1,0.9876735871804936
T230,Manual,1,0.9674806529304105
T230,Manual,0,0.0061698975961995296
T230,Manual,0,0.28178791993049745
T230,Manual,0,0.7296845135689045
T230,Manual,0,0.19274470058908236
T230,Manual,0,0.05959640546359104
T230,Manual,0,0.017209258765294798
T230,Manual,0,0.05493323229783798
T230,Manual,0,0.06479768246732537
T230,InferCNV,1,0.9985410188175143
T230,InferCNV,1,0.6516171297637201
T230,InferCNV,1,0.9928892443137166
T230,InferCNV,1,0.9765105759471109
T230,InferCNV,1,0.9947377467507046
T230,InferCNV,1,0.9909026469538882
T230,InferCNV,1,0.9023481377692553
T230,InferCNV,1,0.9689909706750176
T230,InferCNV,1,0.899095731459369
T230,InferCNV,1,0.9837397313341991
T230,InferCNV,1,0.9851952352842899
T230,InferCNV,1,0.9335907613100037
T230,InferCNV,1,0.9620518031102377
T230,InferCNV,1,0.9984824317142672
T230,InferCNV,1,0.9971173220711802
T230,InferCNV,1,0.9487739152500975
T230,InferCNV,1,0.8764914288771504
T230,InferCNV,1,0.9989991505135734
T230,InferCNV,1,0.627181869245922
T230,InferCNV,1,0.9941836917727621
T230,InferCNV,1,0.9867754298418683
T230,InferCNV,1,0.9880821651976408
T230,InferCNV,1,0.9992507768959088
T230,InferCNV,1,0.9743693923398143
T230,InferCNV,1,0.9833167779026136
T230,InferCNV,1,0.9959291217144471
T230,InferCNV,1,0.9975577443842676
T230,InferCNV,1,0.9970401015102984
T230,InferCNV,1,0.9943727803806652
T230,InferCNV,1,0.9172235934918047
T230,InferCNV,1,0.9852057153242455
T230,InferCNV,1,0.9976729749123138
T230,InferCNV,1,0.9987625168135568
T230,InferCNV,1,0.9984641750863712
T230,InferCNV,1,0.9955103155540885
T230,InferCNV,1,0.9367293402693974
T230,InferCNV,1,0.9824335829241764
T230,InferCNV,1,0.6567426809488037
T230,InferCNV,1,0.9940341398466771
T230,InferCNV,1,0.8922969219342101
T230,InferCNV,1,0.9950331077188604
T230,InferCNV,1,0.9997951503560885
T230,InferCNV,1,0.9831360863804481
T230,InferCNV,1,0.9271667721918972
T230,InferCNV,1,0.3123311782983388
T230,InferCNV,1,0.9992488486142559
T230,InferCNV,1,0.8959454148338941
T230,InferCNV,1,0.9989988340300014
T230,InferCNV,1,0.9995954182201938
T230,InferCNV,1,0.9112774991861239
T230,InferCNV,1,0.9535897404921845
T230,InferCNV,1,0.9535353558702122
T230,InferCNV,1,0.9976927696307802
T230,InferCNV,1,0.914005400307558
T230,InferCNV,1,0.8408247205706684
T230,InferCNV,1,0.9990115061355135
T230,InferCNV,1,0.9985387845015828
T230,InferCNV,1,0.9975332466503435
T230,InferCNV,1,0.9748988536741581
T230,InferCNV,1,0.9846403190389716
T230,InferCNV,1,0.9967236978966786
T230,InferCNV,1,0.9897973794539118
T230,InferCNV,1,0.9986386734902228
T230,InferCNV,1,0.7122159776354902
T230,InferCNV,1,0.9997234368697324
T230,InferCNV,1,0.92533531783348
T230,InferCNV,1,0.9981163419562605
T230,InferCNV,1,0.9745612102903785
T230,InferCNV,1,0.9872195304940257
T230,InferCNV,1,0.8760156732680182
T230,InferCNV,1,0.9997925623253725
T230,InferCNV,1,0.9810527967253584
T230,InferCNV,1,0.9642047582045095
T230,InferCNV,1,0.9990174933265696
T230,InferCNV,1,0.8659001732346858
T230,InferCNV,1,0.9990324756989267
T230,InferCNV,1,0.9989806933053255
T230,InferCNV,1,0.9706212066391158
T230,InferCNV,1,0.9965385037000668
T230,InferCNV,1,0.9996398865707363
T230,InferCNV,1,0.9992916392235485
T230,InferCNV,1,0.9925973805782866
T230,InferCNV,0,0.03045876689435476
T230,InferCNV,0,0.175559822669708
T230,InferCNV,0,0.21106655736482974
T230,InferCNV,0,0.007560517817126374
T230,InferCNV,0,0.04044213548235319
T230,InferCNV,0,0.006799714099043502
T230,InferCNV,0,0.09230015210700275
T230,InferCNV,0,0.013471707655873503
T230,Manual,MES-like,1.1834059570958681e-4
T230,Manual,MES-like,0.93508008779832
T230,Manual,MES-like,3.912254188207885e-6
T230,Manual,MES-like,1.750167096604737e-5
T230,Manual,MES-like,0.017022843058855597
T230,Manual,MES-like,0.0022347798502747396
T230,InferCNV,MES-like,0.005944923962783029
T230,InferCNV,MES-like,0.8625175218830812
T230,InferCNV,MES-like,0.01683517294617595
T230,InferCNV,MES-like,0.1698552963501908
T230,InferCNV,MES-like,0.025852430888030513
T230,InferCNV,MES-like,0.020936998115893977
