Sample,Feature,Celltype,Prediction
NB831,Manual,1,0.9860527244356653
NB831,Manual,1,0.9946245742387
NB831,Manual,1,0.977463798597741
NB831,Manual,1,0.9718881822933049
NB831,Manual,1,0.9664057919023402
NB831,Manual,1,0.9972539207416123
NB831,Manual,1,0.987180613802959
NB831,Manual,1,0.983046999028216
NB831,Manual,1,0.9741929372285187
NB831,Manual,1,0.9367026344308446
NB831,Manual,1,0.9929654820759481
NB831,Manual,1,0.9345259979098693
NB831,Manual,1,0.9207130666752106
NB831,Manual,1,0.9916034796492892
NB831,Manual,1,0.8808681918193055
NB831,Manual,1,0.9835363817206298
NB831,Manual,1,0.9595712566036608
NB831,Manual,1,0.9939122929310041
NB831,Manual,1,0.957311749127704
NB831,Manual,1,0.9853879003235025
NB831,Manual,1,0.9324109411996054
NB831,Manual,1,0.9989498395254492
NB831,Manual,1,0.9900709685731206
NB831,Manual,1,0.9426216564859637
NB831,Manual,1,0.9508192802909748
NB831,Manual,1,0.9948376071421515
NB831,Manual,1,0.9480262283956673
NB831,Manual,1,0.9840151227347234
NB831,Manual,1,0.9931688671807859
NB831,Manual,1,0.9924153447769534
NB831,Manual,1,0.9918796015874705
NB831,Manual,1,0.9302903169105732
NB831,Manual,1,0.9929221134436172
NB831,Manual,1,0.994824685969105
NB831,Manual,1,0.9101837196505954
NB831,Manual,1,0.9905422766460342
NB831,Manual,1,0.9695566643721717
NB831,Manual,1,0.9921383111151912
NB831,Manual,1,0.9479459006622655
NB831,Manual,1,0.9893074887802698
NB831,Manual,1,0.9634276249029509
NB831,Manual,1,0.9924798550786259
NB831,Manual,1,0.8465775670436698
NB831,Manual,1,0.9628111900748516
NB831,Manual,1,0.980424904658652
NB831,Manual,1,0.9461332719331857
NB831,Manual,1,0.9689303185950855
NB831,Manual,1,0.9858748687948953
NB831,Manual,1,0.9839246669855856
NB831,Manual,1,0.35942052015219156
NB831,Manual,1,0.9959176505680734
NB831,Manual,1,0.9939458640123087
NB831,Manual,1,0.9868511860467478
NB831,Manual,1,0.9660930269503069
NB831,Manual,1,0.9824629503954616
NB831,Manual,1,0.9846306047636655
NB831,Manual,1,0.9895683616099493
NB831,Manual,1,0.9739882153227593
NB831,Manual,1,0.9486632512242422
NB831,Manual,1,0.9935195812702482
NB831,Manual,1,0.982030981585803
NB831,Manual,1,0.9925561552010251
NB831,Manual,1,0.9917529062307341
NB831,Manual,1,0.9606435850225262
NB831,Manual,1,0.98853654394096
NB831,Manual,1,0.9452590817654086
NB831,Manual,1,0.9929177168768277
NB831,Manual,1,0.9772294550108963
NB831,Manual,1,0.9954641307632978
NB831,Manual,1,0.9841527174130001
NB831,Manual,1,0.9653415136013949
NB831,Manual,1,0.9818243468921157
NB831,Manual,1,0.9924752091188386
NB831,Manual,1,0.9750993200002318
NB831,Manual,1,0.9923093564284415
NB831,Manual,1,0.9565970834467006
NB831,Manual,1,0.9762842599761288
NB831,Manual,1,0.8510979972512074
NB831,Manual,1,0.9904739988994686
NB831,Manual,1,0.9655717936953214
NB831,Manual,1,0.9993092413726783
NB831,Manual,1,0.9675258825867427
NB831,Manual,1,0.63544416063032
NB831,Manual,1,0.9828809497722951
NB831,Manual,1,0.9934659248030072
NB831,Manual,1,0.9554795233429014
NB831,Manual,1,0.9917289327933909
NB831,Manual,1,0.9730670244046661
NB831,Manual,1,0.9947801521793769
NB831,Manual,1,0.9838922670889144
NB831,Manual,1,0.9597802039109985
NB831,Manual,1,0.9907102914897229
NB831,Manual,1,0.9907155505401815
NB831,Manual,1,0.9584400623604927
NB831,Manual,1,0.9888376063101817
NB831,Manual,1,0.8835473007253938
NB831,Manual,1,0.9596440155805217
NB831,Manual,1,0.9977534367309384
NB831,Manual,1,0.9911476625649078
NB831,Manual,1,0.9926603423515151
NB831,Manual,1,0.9746839451385797
NB831,Manual,1,0.9905385090740394
NB831,Manual,1,0.9699629746758774
NB831,Manual,1,0.9907212983207633
NB831,Manual,1,0.9287634682864594
NB831,Manual,1,0.9904394706830081
NB831,Manual,1,0.9842715073061171
NB831,Manual,1,0.9949898175921311
NB831,Manual,1,0.9956022679682961
NB831,Manual,1,0.9746707849742773
NB831,Manual,1,0.9511466820989055
NB831,Manual,1,0.9936748912540996
NB831,Manual,1,0.8433525939504053
NB831,Manual,1,0.9895840085741351
NB831,Manual,1,0.9764843288217616
NB831,Manual,1,0.9392179556734984
NB831,Manual,1,0.9720744307333213
NB831,Manual,1,0.9988212036201919
NB831,Manual,1,0.9957081108182221
NB831,Manual,1,0.9886386827540031
NB831,Manual,1,0.9761857651529072
NB831,Manual,1,0.9916847452780608
NB831,Manual,1,0.9936347886192539
NB831,Manual,1,0.9876891981458763
NB831,Manual,1,0.9965344284944755
NB831,Manual,1,0.9726497762589934
NB831,Manual,1,0.9861600583378151
NB831,Manual,1,0.9716809609300504
NB831,Manual,1,0.9443304810035472
NB831,Manual,1,0.9941354563920263
NB831,Manual,1,0.8845599200956439
NB831,Manual,1,0.9937808512079149
NB831,Manual,1,0.9723359607049233
NB831,Manual,1,0.9453623765125194
NB831,Manual,1,0.8313991000762732
NB831,Manual,1,0.970789120559557
NB831,Manual,1,0.985443755034407
NB831,Manual,1,0.9772723179117699
NB831,Manual,1,0.9991660105479405
NB831,Manual,1,0.9960050340870497
NB831,Manual,1,0.9553205211210575
NB831,Manual,1,0.9864819390988664
NB831,Manual,1,0.33340228482346984
NB831,Manual,1,0.9876202947730911
NB831,Manual,1,0.9916981089790224
NB831,Manual,1,0.9880677520502257
NB831,Manual,1,0.9983844658538519
NB831,Manual,1,0.9989183146105921
NB831,Manual,1,0.9993930756625979
NB831,Manual,1,0.997533931647663
NB831,Manual,1,0.9485282680120858
NB831,Manual,1,0.9868168937146095
NB831,Manual,1,0.9712707373249838
NB831,Manual,1,0.9969183564253467
NB831,Manual,1,0.9903190950146604
NB831,Manual,1,0.9891514350485057
NB831,Manual,1,0.998273117858577
NB831,Manual,1,0.9594342049576804
NB831,Manual,1,0.9578050103680747
NB831,Manual,1,0.9964071183001144
NB831,Manual,1,0.9706729819052208
NB831,Manual,1,0.9982098775980464
NB831,Manual,1,0.9841755957268639
NB831,Manual,1,0.9727151055179264
NB831,Manual,1,0.9209043366859903
NB831,Manual,1,0.9909492703269106
NB831,Manual,1,0.9449808910578625
NB831,Manual,1,0.9955449900870714
NB831,Manual,1,0.9982647758477338
NB831,Manual,1,0.9978944818216895
NB831,Manual,1,0.9885481922377045
NB831,Manual,1,0.9537223152856287
NB831,Manual,1,0.9984617262014986
NB831,Manual,1,0.9939305062199704
NB831,Manual,1,0.9463844752233496
NB831,Manual,1,0.9989273259596048
NB831,Manual,1,0.9945997075416828
NB831,Manual,1,0.9947117210594332
NB831,Manual,1,0.9955378813898551
NB831,Manual,1,0.9915593521425137
NB831,Manual,1,0.8913946507635262
NB831,Manual,1,0.9825360427530998
NB831,Manual,1,0.8663357897046096
NB831,Manual,1,0.9939663583477458
NB831,Manual,1,0.9942439883906167
NB831,Manual,1,0.9978745208597407
NB831,Manual,1,0.9212425843387536
NB831,Manual,1,0.9917824437696429
NB831,Manual,1,0.9956730109584192
NB831,Manual,1,0.9232687019834036
NB831,Manual,1,0.9984489959866827
NB831,Manual,1,0.992858777572587
NB831,Manual,1,0.9765874205866811
NB831,Manual,1,0.9861808418436864
NB831,Manual,1,0.9874407996925838
NB831,Manual,1,0.9621147470792174
NB831,Manual,1,0.9702279071837328
NB831,Manual,1,0.9392849202827172
NB831,Manual,1,0.9932399980648268
NB831,Manual,1,0.9942620892601255
NB831,Manual,1,0.960873017257552
NB831,Manual,1,0.9779177156786828
NB831,Manual,1,0.9839283121867803
NB831,Manual,1,0.9901739213302554
NB831,Manual,1,0.8828372982648851
NB831,Manual,1,0.9475191088301714
NB831,Manual,1,0.9890595563642344
NB831,Manual,1,0.9784603779732264
NB831,Manual,1,0.9666778165535008
NB831,Manual,1,0.9363094240574913
NB831,Manual,1,0.9915631635978097
NB831,Manual,1,0.975348590162741
